Course Code,Course Name,Course Type,Course Status,Country/Territory,Course Skill,Priority,Training Provider,Managed Type,Delivery Tool Platform,Display Course Type,Specialization,Course Hours,Estimated Housing,Estimated Transportation,Estimated Tuition,Estimated Other,Year,Participants,Main Domain
A24368,Make it Inclusive - Workshop Mission Handicap,Classroom,Active,France,Coaching,Discretionary,ACCORDIA,Local,Live Meeting,Classroom,-,2.5,0.0,0.0,245.83,0.0,2019,4.0,Leadership Development
A24368,Make it Inclusive - Workshop Mission Handicap,Classroom,Active,France,Coaching,Discretionary,ACCORDIA,Local,MS Teams,Virtual,-,2.5,0.0,0.0,245.83,0.0,2020,13.0,Cross Accenture
A24368,Make it Inclusive - Workshop Mission Handicap,Classroom,Active,France,Coaching,Discretionary,ACCORDIA,Local,MS Teams,Virtual,-,2.5,0.0,0.0,245.83,0.0,2020,13.0,Leadership Development
A24368,Make it Inclusive - Workshop Mission Handicap,Classroom,Active,France,Coaching,Discretionary,ACCORDIA,Local,MS Teams,Virtual,-,2.5,0.0,0.0,492.0,0.0,2021,21.0,Cross Accenture
A24368,Make it Inclusive - Workshop Mission Handicap,Classroom,Active,France,Coaching,Discretionary,ACCORDIA,Local,MS Teams,Virtual,-,2.5,0.0,0.0,492.0,0.0,2021,21.0,Leadership Development
A24401,Master Powerpoint - Resources only,Classroom,Cancelled,France,Collaboration,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,2.0,0.0,0.0,0.0,0.0,2020,12.0,Cross Accenture
A24418,Good proposal - Resources only,Classroom,Cancelled,France,Collaboration,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,2.0,0.0,0.0,0.0,0.0,2020,14.0,Sales
A24447,Découvrir les démarches agiles et la culture agile,Classroom,Cancelled,France,Agile Systems Integration,Discretionary,OCTO Technology SA,Local,MS Teams,Virtual,-,14.0,0.0,0.0,1227.38,0.0,2020,12.0,Core Curriculum
A24488,Storytelling for ACE Community,Classroom,Cancelled,France,Storytelling,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,1.0,0.0,0.0,0.0,0.0,2020,2.0,Cross Accenture
A24524,Les Accords Toltèques : pour des relations positives,Classroom,Active,France,Collaboration,Discretionary,CMGA,Local,Live Meeting,Classroom,-,3.0,0.0,0.0,77.88000000000001,0.0,2019,180.0,Cross Accenture
A24524,Les Accords Toltèques : pour des relations positives,Classroom,Active,France,Collaboration,Discretionary,CMGA,Local,Live Meeting,Classroom,-,3.0,0.0,0.0,77.88000000000001,0.0,2019,180.0,Cross Accenture
A24524,Les Accords Toltèques : pour des relations positives,Classroom,Active,France,Collaboration,Discretionary,CMGA,Local,Live Meeting,Classroom,-,3.0,0.0,0.0,116.82,0.0,2020,822.0,Cross Accenture
A24524,Les Accords Toltèques : pour des relations positives,Classroom,Active,France,Collaboration,Discretionary,CMGA,Local,Live Meeting,Classroom,-,3.0,0.0,0.0,116.82,0.0,2020,822.0,Cross Accenture
A24524,Les Accords Toltèques : pour des relations positives,Classroom,Active,France,Collaboration,Discretionary,CMGA,Local,MS Teams,Virtual,-,3.0,0.0,0.0,38.94,0.0,2021,1212.0,Cross Accenture
