Course Code,Course Name,Course Type,Course Status,Country/Territory,Course Skill,Priority,Training Provider,Managed Type,Delivery Tool Platform,Display Course Type,Specialization,Course Hours,Estimated Housing,Estimated Transportation,Estimated Tuition,Estimated Other,Year,Main Domain,Classes
ISA-Global-PasswordlessTraining,Passwordless Training,Classroom,Active,France,-,Discretionary,Accenture Local,Local,Live Meeting,Classroom,-,1.5,0.0,0.0,0.0,0.0,2021,Cross Accenture,Class 0
ISA-Global-PasswordlessTraining,Passwordless Training,Classroom,Active,France,-,Discretionary,Accenture Local,Local,Live Meeting,Classroom,-,1.5,0.0,0.0,0.0,0.0,2021,Cross Accenture,Class 0
ISA-Global-ThriveMind,CIO and ISA Thriving Mind Introduction,Classroom,Active,France,People Safety & Health,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,1.0,0.0,0.0,0.0,0.0,2020,Cross Accenture,Class 2
ISA-Global-ThriveMind,CIO and ISA Thriving Mind Introduction,Classroom,Active,Netherlands,People Safety & Health,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,1.0,0.0,0.0,0.0,0.0,2021,Cross Accenture,Class 2
ISATS-EMEA-Agile-Project-Management,Agile Project Management Practitioner,Classroom,Cancelled,France,Agile Project Management,Discretionary,Accenture Local,Local,Live Meeting,Classroom,Agile,24.0,0.0,0.0,0.0,0.0,2020,Core Curriculum,Class 0
ISATS-EMEA-AgileProject,Agile Project Management Practitioner,Classroom,Active,France,Agile Project Management,Discretionary,Accenture Local,Local,Live Meeting,Classroom,Agile,8.0,0.0,0.0,0.0,0.0,2020,Core Curriculum,Class 0
ISATS-EMEA-AZ-900,AZ-900,Classroom,Cancelled,France,Microsoft Azure Functions,Discretionary,Accenture Local,Local,-,Classroom,Azure,8.0,0.0,0.0,0.0,0.0,2020,Delivery,Class 9
ISATS-EMEA-VMWare-vSphere,"VMware vSphere: Install, Configure, Manage",Classroom,Cancelled,France,VMware vSphere,Discretionary,Accenture Local,Local,-,Classroom,VMware SDDC Private Cloud,40.0,0.0,0.0,0.0,0.0,2020,Cross Accenture,Class 0
NJOASG_ONE_Accenture_Interactive,NJOASG_ONE_Accenture_Interactive,Classroom,Active,France,Collaboration,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,16.0,0.0,0.0,0.0,0.0,2021,Cross Accenture,Class 0
NJOASG_ONE_Accenture_Interactive,NJOASG_ONE_Accenture_Interactive,Classroom,Active,France,Collaboration,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,16.0,0.0,0.0,0.0,0.0,2021,Cross Accenture,Class 0
NJOGALLIA,New Joiner Orientation: Gallia,Classroom,Active,France,Collaboration,Discretionary,Accenture Central,Local,MS Teams,Virtual,-,16.0,0.0,0.0,0.0,0.0,2020,Cross Accenture,Class 11
NJOGALLIA,New Joiner Orientation: Gallia,Classroom,Active,France,Collaboration,Discretionary,Accenture Central,Local,MS Teams,Virtual,-,16.0,0.0,0.0,0.0,0.0,2020,Cross Accenture,Class 11
NJOGALLIA,New Joiner Orientation: Gallia,Classroom,Active,France,Collaboration,Discretionary,Accenture Central,Local,MS Teams,Virtual,-,16.0,0.0,0.0,0.0,0.0,2021,Cross Accenture,Class 11
NJOGALLIA,New Joiner Orientation: Gallia,Classroom,Active,France,Collaboration,Discretionary,Accenture Central,Local,MS Teams,Virtual,-,16.0,0.0,0.0,0.0,0.0,2021,Cross Accenture,Class 11
NJOGALLIA,New Joiner Orientation: Gallia,Classroom,Active,France,Collaboration,Discretionary,Accenture Central,Local,MS Teams,Virtual,-,16.0,0.0,0.0,0.0,0.0,2022,Cross Accenture,Class 11
NJOGALLIA,New Joiner Orientation: Gallia,Classroom,Active,France,Collaboration,Discretionary,Accenture Central,Local,MS Teams,Virtual,-,16.0,0.0,0.0,0.0,0.0,2022,Cross Accenture,Class 11
NJOGALLIA,New Joiner Orientation: Gallia,Classroom,Active,France,Collaboration,Discretionary,Accenture Central,Local,Live Meeting,Classroom,-,16.0,0.0,0.0,0.0,0.0,2019,Cross Accenture,Class 11
NJOGALLIA,New Joiner Orientation: Gallia,Classroom,Active,France,Collaboration,Discretionary,Accenture Central,Local,Live Meeting,Classroom,-,16.0,0.0,0.0,0.0,0.0,2019,Cross Accenture,Class 11
NJOINDIA,New Joiner Orientation: India,Classroom,Active,France,Collaboration,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,8.0,0.0,0.0,0.0,0.0,2021,Cross Accenture,Class 1
NJOINDIA,New Joiner Orientation: India,Classroom,Active,France,Collaboration,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,8.0,0.0,0.0,0.0,0.0,2021,Cross Accenture,Class 1
NJOINDIA,New Joiner Orientation: India,Classroom,Active,Netherlands,Collaboration,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,8.0,0.0,0.0,0.0,0.0,2020,Cross Accenture,Class 1
NJOINDIA,New Joiner Orientation: India,Classroom,Active,Netherlands,Collaboration,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,8.0,0.0,0.0,0.0,0.0,2020,Cross Accenture,Class 1
NJONA,New Joiner Orientation: US and Canada,Classroom,Active,France,Collaboration,Discretionary,Accenture Central,Local,-,Classroom,-,16.0,0.0,0.0,0.0,0.0,2020,Cross Accenture,Class 0
NJONA,New Joiner Orientation: US and Canada,Classroom,Active,France,Collaboration,Discretionary,Accenture Central,Local,-,Classroom,-,16.0,0.0,0.0,0.0,0.0,2020,Cross Accenture,Class 0
NJONA,New Joiner Orientation: US and Canada,Classroom,Active,France,Collaboration,Discretionary,Accenture Central,Local,MS Teams,Virtual,-,16.0,0.0,0.0,0.0,0.0,2021,Cross Accenture,Class 0
NJONA,New Joiner Orientation: US and Canada,Classroom,Active,France,Collaboration,Discretionary,Accenture Central,Local,MS Teams,Virtual,-,16.0,0.0,0.0,0.0,0.0,2021,Cross Accenture,Class 0
NJONA,New Joiner Orientation: US and Canada,Classroom,Active,Netherlands,Collaboration,Discretionary,Accenture Central,Local,-,Classroom,-,16.0,0.0,0.0,0.0,0.0,2019,Cross Accenture,Class 0
NJONA,New Joiner Orientation: US and Canada,Classroom,Active,Netherlands,Collaboration,Discretionary,Accenture Central,Local,-,Classroom,-,16.0,0.0,0.0,0.0,0.0,2019,Cross Accenture,Class 0
S62269,Certified ScrumMaster,Classroom,Active,France,Scrum,Discretionary,AGILAR,Local,Zoom,Virtual,Agile,15.0,0.0,0.0,894.0,0.0,2021,Core Curriculum,Class 0
S62269,Certified ScrumMaster,Classroom,Active,France,Scrum,Discretionary,AGILAR,Local,Zoom,Virtual,Agile,15.0,0.0,0.0,894.0,0.0,2021,Core Curriculum,Class 0
