Course Name,Course Type,Course Status,Country/Territory,Priority,Training Provider,Managed Type,Delivery Tool Platform,Display Course Type,Course Hours,Year,Participants,Main Domain
Bootcamp EWM,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,21.0,2020,14.0,Cross Accenture
Bootcamp EWM,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,21.0,2021,21.0,Cross Accenture
Bootcamp EWM,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,21.0,2021,21.0,Cross Accenture
Certification SAP IBP (Virtual) - Integrated Business Planning,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,16.0,2021,7.0,IPS
Certification SAP IBP (Virtual) - Integrated Business Planning,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,16.0,2021,7.0,IPS
M&A Essentials – Carve-out for S&C,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.5,2020,52.0,Cross Accenture
ZBx Unplugged Series,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2019,28.0,Cross Accenture
ZBx Unplugged Series,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2019,28.0,Cross Accenture
ZBx Unplugged Series,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2020,340.0,Cross Accenture
ZBx Unplugged Series,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2020,340.0,Cross Accenture
ZBx Unplugged Series,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2021,376.0,Cross Accenture
ZBx Unplugged Series,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2021,376.0,Cross Accenture
Toulouse Data Vortex - Vocabulaire & Jobs (Training),Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2021,234.0,Cross Accenture
Toulouse Data Vortex - Vocabulaire & Jobs (Training),Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2021,234.0,Cross Accenture
ServiceNow Risk & Compliance Implementation,Classroom,Active,France,Discretionary,Accenture Central,Central,Zoom,Virtual,16.0,2020,4.0,Cloud First
Quality Management,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,6.0,2020,87.0,Delivery
DevOps Foundation with Certification (DOFD),Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,16.0,2021,312.0,Cross Accenture
DevOps Foundation with Certification (DOFD),Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,16.0,2021,312.0,Cross Accenture
DevOps Foundation with Certification (DOFD),Classroom,Active,France,Discretionary,DevOps Institute,Central,MS Teams,Virtual,16.0,2022,416.0,Cross Accenture
DevOps Foundation with Certification (DOFD),Classroom,Active,France,Discretionary,DevOps Institute,Central,MS Teams,Virtual,16.0,2022,416.0,Cross Accenture
A&D Academy - Finance,Classroom,Active,France,Discretionary,Accenture Local,Local,Live Meeting,Classroom,2.0,2020,62.0,Cross Accenture
A&D Academy - Finance,Classroom,Active,France,Discretionary,Accenture Local,Local,Live Meeting,Classroom,2.0,2020,62.0,Cross Accenture
A&D Academy - Finance,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2021,80.0,Cross Accenture
A&D Academy - Finance,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2021,80.0,Cross Accenture
A&D Academy - Production basics,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2020,150.0,Cross Accenture
A&D Academy - Production basics,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2021,174.0,Cross Accenture
Leading SAFe,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,21.0,2021,39.0,Cross Accenture
Leading SAFe,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,21.0,2021,39.0,Cross Accenture
Leading SAFe,Classroom,Active,Netherlands,Discretionary,Accenture Central,Central,-,Classroom,16.0,2019,3.0,Cross Accenture
Leading SAFe,Classroom,Active,Netherlands,Discretionary,Accenture Central,Central,-,Classroom,16.0,2019,3.0,Cross Accenture
ZBx for Technology Immersion,Classroom,Active,France,Discretionary,Accenture Central,Central,-,Classroom,20.0,2020,3.0,Cross Technology
ZBx for Technology Immersion,Classroom,Active,France,Discretionary,Accenture Central,Central,-,Classroom,20.0,2020,3.0,Cross Technology
ZBx for Technology Immersion,Classroom,Active,France,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,20.0,2021,8.0,Cross Technology
ZBx for Technology Immersion,Classroom,Active,France,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,20.0,2021,8.0,Cross Technology
Accenture Coupa / LLamasoft Integration and Update,Classroom,Active,France,Discretionary,Coupa,Central,MS Teams,Virtual,1.0,2021,25.0,Cross Accenture
Accenture Coupa / LLamasoft Integration and Update,Classroom,Active,France,Discretionary,Coupa,Central,MS Teams,Virtual,1.0,2021,25.0,Cross Accenture
Einstein Analytics,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2020,17.0,Cross Accenture
How to say No,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,1.5,2021,44.0,Cross Accenture
How to say No,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,1.5,2021,44.0,Cross Accenture
"Frontend Engineering, Architecture, and Development (FEAD) Webinar Series - FY20",Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2020,16.0,Cross Technology
Incident Management (IM) in Accenture Support Fulfillment,Virtual,Active,France,Discretionary,Accenture Central,Central,D2LSelfStudy,Virtual,1.0,2020,6.0,Delivery
Incident Management (IM) in Accenture Support Fulfillment,Virtual,Active,France,Discretionary,Accenture Central,Central,D2LSelfStudy,Virtual,1.0,2020,6.0,Delivery
Incident Management (IM) in Accenture Support Fulfillment,Virtual,Active,France,Discretionary,Accenture Central,Central,D2LSelfStudy,Virtual,1.0,2021,8.0,Delivery
Incident Management (IM) in Accenture Support Fulfillment,Virtual,Active,France,Discretionary,Accenture Central,Central,D2LSelfStudy,Virtual,1.0,2021,8.0,Delivery
Incident Management (IM) in Accenture Support Fulfillment,Virtual,Active,Belgium,Discretionary,Accenture Central,Central,D2LSelfStudy,Virtual,1.0,2019,2.0,Delivery
Incident Management (IM) in Accenture Support Fulfillment,Virtual,Active,Belgium,Discretionary,Accenture Central,Central,D2LSelfStudy,Virtual,1.0,2019,2.0,Delivery
Problem Management (PM) in Accenture Support Fulfillment,Virtual,Active,France,Discretionary,Accenture Central,Central,D2LSelfStudy,Virtual,1.0,2020,2.0,Delivery
Change and Release Management (CRM) in Accenture Support Fulfillment,Virtual,Active,France,Discretionary,Accenture Central,Central,D2LSelfStudy,Virtual,1.0,2020,2.0,Delivery
Communication and Media Masterclass,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,15.0,2021,18.0,Cross Accenture
Communication and Media Masterclass,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,15.0,2021,18.0,Cross Accenture
Communication and Media Masterclass,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,9.0,2022,66.0,Cross Accenture
Communication and Media Masterclass,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,9.0,2022,66.0,Cross Accenture
Formation Exalead: fonctionnel,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,8.0,2020,21.0,Cross Accenture
Bootcamp SAP EWM  Advanced (Classroom) -  Extented Warehouse Management,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,24.0,2021,8.0,IPS
Bootcamp SAP EWM  Advanced (Classroom) -  Extented Warehouse Management,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,24.0,2021,8.0,IPS
Oracle Certification Prep Seminar (Non ATC),Classroom,Active,France,Discretionary,Oracle University Emea,Central,MS Teams,Virtual,2.0,2020,7.0,IPS
Oracle Guided Training Event,Classroom,Active,France,Discretionary,Oracle University Emea,Central,MS Teams,Virtual,12.0,2020,18.0,IPS
SI Solution Architecture Core Training - VILT,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,20.0,2020,8.0,Core Curriculum
SI Solution Architecture Core Training - VILT,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,20.0,2020,8.0,Core Curriculum
SI Solution Architecture Core Training - VILT,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,20.0,2021,16.0,Core Curriculum
SI Solution Architecture Core Training - VILT,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,20.0,2021,16.0,Core Curriculum
Advanced SI Solution Architect - VILT,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,20.0,2021,12.0,Cross Technology
Advanced SI Solution Architect - VILT,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,20.0,2021,12.0,Cross Technology
Application Outsourcing Solution Architect Essentials - VILT,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,24.0,2020,2.0,Cross Technology
Application Outsourcing Solution Architect Essentials - VILT,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,24.0,2020,2.0,Cross Technology
SOCIALIZING FOR NETWORKING,Classroom,Active,France,Discretionary,TELELANGUE,Local,Live Meeting,Classroom,4.0,2019,10.0,Cross Accenture
SOCIALIZING FOR NETWORKING,Classroom,Active,France,Discretionary,TELELANGUE,Local,Live Meeting,Classroom,4.0,2019,10.0,Cross Accenture
SOCIALIZING FOR NETWORKING,Classroom,Active,France,Discretionary,TELELANGUE,Local,Live Meeting,Classroom,4.0,2020,28.0,Cross Accenture
SOCIALIZING FOR NETWORKING,Classroom,Active,France,Discretionary,TELELANGUE,Local,Live Meeting,Classroom,4.0,2020,28.0,Cross Accenture
SOCIALIZING FOR NETWORKING,Classroom,Active,France,Discretionary,TELELANGUE,Local,MS Teams,Virtual,4.0,2021,42.0,Cross Accenture
SOCIALIZING FOR NETWORKING,Classroom,Active,France,Discretionary,TELELANGUE,Local,MS Teams,Virtual,4.0,2021,42.0,Cross Accenture
SOCIALIZING FOR NETWORKING,Classroom,Active,France,Discretionary,TELELANGUE,Local,MS Teams,Virtual,4.0,2022,52.0,Cross Accenture
SOCIALIZING FOR NETWORKING,Classroom,Active,France,Discretionary,TELELANGUE,Local,MS Teams,Virtual,4.0,2022,52.0,Cross Accenture
RTR_Performance Achievement 1:1 Strengths Coaching with Accenture Coach,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,1.0,2019,74.0,Leadership Development
RTR_Performance Achievement 1:1 Strengths Coaching with Accenture Coach,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,1.0,2019,74.0,Leadership Development
RTR_Performance Achievement 1:1 Strengths Coaching with Accenture Coach,Classroom,Active,France,Discretionary,Accenture Central,Central,ConferenceCall,Virtual,1.0,2020,208.0,Leadership Development
RTR_Performance Achievement 1:1 Strengths Coaching with Accenture Coach,Classroom,Active,France,Discretionary,Accenture Central,Central,ConferenceCall,Virtual,1.0,2020,208.0,Leadership Development
RTR_Performance Achievement 1:1 Strengths Coaching with Accenture Coach,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,1.0,2021,257.0,Leadership Development
RTR_Performance Achievement 1:1 Strengths Coaching with Accenture Coach,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,1.0,2021,257.0,Leadership Development
DevOps Academy,Classroom,Active,France,Discretionary,Accenture Central,Central,-,Classroom,16.0,2019,72.0,Cross Accenture
DevOps Academy,Classroom,Active,France,Discretionary,Accenture Central,Central,-,Classroom,16.0,2020,132.0,Cross Accenture
Virtual Offering High Performance Selling_Be Strikingly Different,Classroom,Active,France,Discretionary,Accenture Central,Central,Zoom,Virtual,19.0,2021,147.0,Sales
Virtual Offering High Performance Selling_Be Strikingly Different,Classroom,Active,France,Discretionary,Accenture Central,Central,Zoom,Virtual,19.0,2021,147.0,Sales
Virtual Offering High Performance Selling_Be Strikingly Different,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,19.0,2022,165.0,Sales
Virtual Offering High Performance Selling_Be Strikingly Different,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,19.0,2022,165.0,Sales
Virtual Offering High Performance Selling_Be Strikingly Different,Classroom,Active,Luxembourg,Discretionary,Accenture Central,Central,Zoom,Virtual,19.0,2020,3.0,Sales
Virtual Offering High Performance Selling_Be Strikingly Different,Classroom,Active,Luxembourg,Discretionary,Accenture Central,Central,Zoom,Virtual,19.0,2020,3.0,Sales
GTW: Microsoft Whiteboard - An Overview (CIO Technology Workshop),Classroom,Not Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2020,1170.0,Cross Technology
GTW: Microsoft Whiteboard - An Overview (CIO Technology Workshop),Classroom,Not Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2020,1170.0,Cross Technology
GTW: Microsoft Whiteboard - An Overview (CIO Technology Workshop),Classroom,Not Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2021,1272.0,Cross Technology
GTW: Microsoft Whiteboard - An Overview (CIO Technology Workshop),Classroom,Not Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2021,1272.0,Cross Technology
GTW AMR: PowerPoint – Tips and Tricks (CIO Technology Workshop),Classroom,Cancelled,France,Discretionary,Accenture Local,Local,-,Virtual,1.0,2020,50.0,Cross Technology
GTW AMR: PowerPoint – Tips and Tricks (CIO Technology Workshop),Classroom,Cancelled,Netherlands,Discretionary,Accenture Local,Local,-,Virtual,1.0,2019,5.0,Cross Technology
Digital Worker - Best Practices for Working Virtually (CIO Technology Workshop),Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2020,732.0,Cross Technology
Digital Worker - Best Practices for Working Virtually (CIO Technology Workshop),Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2022,960.0,Cross Technology
Salesforce Curriculum: Implement and Manage Tableau CRM (ANC301),Classroom,Active,France,Discretionary,Salesforce - GLOBAL,Central,MS Teams,Virtual,24.0,2020,2.0,Sales
Salesforce Curriculum: Implement and Manage Tableau CRM (ANC301),Classroom,Active,France,Discretionary,Salesforce - GLOBAL,Central,MS Teams,Virtual,24.0,2020,2.0,IPS
Salesforce Curriculum: Implement and Manage Tableau CRM (ANC301),Classroom,Active,France,Discretionary,Salesforce - GLOBAL,Central,MS Teams,Virtual,24.0,2021,4.0,Sales
Salesforce Curriculum: Implement and Manage Tableau CRM (ANC301),Classroom,Active,France,Discretionary,Salesforce - GLOBAL,Central,MS Teams,Virtual,24.0,2021,4.0,IPS
Salesforce Curriculum: Implement and Manage Tableau CRM (ANC301),Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,24.0,2022,6.0,Sales
Salesforce Curriculum: Implement and Manage Tableau CRM (ANC301),Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,24.0,2022,6.0,IPS
Responsible AI Fundamentals,Classroom,Active,France,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,14.0,2020,3.0,Sustainability
Responsible AI Fundamentals,Classroom,Active,France,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,14.0,2020,3.0,Cross Accenture
Responsible AI Fundamentals,Classroom,Active,France,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,14.0,2021,39.0,Sustainability
Responsible AI Fundamentals,Classroom,Active,France,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,14.0,2021,39.0,Cross Accenture
Responsible AI Fundamentals,Classroom,Active,France,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,14.0,2022,60.0,Sustainability
Responsible AI Fundamentals,Classroom,Active,France,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,14.0,2022,60.0,Cross Accenture
ACE Solution Lead,Classroom,Active,France,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,18.0,2020,1.0,Leadership Development
Préparation à la certification SAP S4 CO,Classroom,Active,France,Discretionary,Accenture Local,Local,-,Classroom,21.0,2019,8.0,IPS
Préparation à la certification SAP S4 CO,Classroom,Active,France,Discretionary,Accenture Local,Local,-,Classroom,21.0,2019,8.0,IPS
Préparation à la certification SAP S4 CO,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,21.0,2020,20.0,IPS
Préparation à la certification SAP S4 CO,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,21.0,2020,20.0,IPS
Préparation à la certification SAP S4 CO,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,21.0,2021,37.0,IPS
Préparation à la certification SAP S4 CO,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,21.0,2021,37.0,IPS
CFO& EV Accelarator Program,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,8.0,2020,9.0,Cross Accenture
CFO& EV Accelarator Program,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,8.0,2020,9.0,Cross Accenture
CFO& EV Accelarator Program,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,8.0,2021,14.0,Cross Accenture
CFO& EV Accelarator Program,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,8.0,2021,14.0,Cross Accenture
Relations interpersonnelles,Classroom,Active,France,Discretionary,Coheliance,Local,MS Teams,Virtual,1.5,2020,31.0,Cross Accenture
Relations interpersonnelles,Classroom,Active,France,Discretionary,Coheliance,Local,MS Teams,Virtual,1.5,2020,31.0,Cross Accenture
Relations interpersonnelles,Classroom,Active,France,Discretionary,Coheliance,Local,MS Teams,Virtual,1.5,2021,49.0,Cross Accenture
Relations interpersonnelles,Classroom,Active,France,Discretionary,Coheliance,Local,MS Teams,Virtual,1.5,2021,49.0,Cross Accenture
DESIGN FICTION – Sur invitation only,Classroom,Cancelled,France,Discretionary,SAS AGENCE TOUS RISQUES,Local,Live Meeting,Classroom,16.0,2020,6.0,Cross Accenture
Formation Chef de projet sur la gestion de projet formation,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,4.0,2020,13.0,Delivery
"VIRTUAL: Module 1 , sensibilisation à l’accessibilité numérique",Classroom,Active,France,Discretionary,Koena,Local,MS Teams,Virtual,7.0,2021,3.0,Sustainability
"VIRTUAL: Module 1 , sensibilisation à l’accessibilité numérique",Classroom,Active,France,Discretionary,Koena,Local,MS Teams,Virtual,7.0,2021,3.0,Cross Accenture
Formation Campus : Initiation UX Design,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,8.0,2020,13.0,Cross Accenture
Formation Campus : Initiation UX Design,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,8.0,2020,13.0,Cross Accenture
